No.,Name of the Organization,District of HQs/Physical Address,GEOGRAPHICAL AREA OF COVERAGE,KEY ACTIVITIES/OBJECTIVES,REG NUMBER,PERMIT NUMBER
1513,GIFTED STARS FOUNDATION,KAWEMPE; P.O BOX 30687 KAMPALA,KAMPALA,"RECERATIONAL AND CULTURAL ACTIVITIES, VOCATIONAL TRAINING AND SKILLS DEVELOPMENT",INDR132554330NB,INDR129994330NB
1514,GIRAFFE CONSERVATION FOUNDATION EAST AFRICA,KAMPALA; PARK ROYAL BUILDING BUGANDA ROAD LEVEL 3 ROOM B3; P.O. BOX 51061 NAIROB,COUNTRYWIDE,INTEGRATIVE CONSERVATION RESEARCH IN RESPECT TO GIRAFEE NATURAL ECOLOGY; SOCIAL,REGR144902015NB,REGP0002015NB
1515,GIRL CHILD ADVOCACY INITIATIVE,SEMBABULE; LWEBITAKULI RD MATEETE TOWN COUNCIL ADJACENT ST. PETER'S PS; P.O. BOX,SEMBABULE,PROTECTING AND IMPROVING THE LIVING CONDITIONS OF VULNERABLE CHILDREN; QUALITY E,INDR110431824NB,INDP104371824NB
1516,GIRL EMPOWERMENT FOUNDATION,"KASESE DISTRICT, KASESE MUNICIPALITY, NYAMWAMBA DIVISION, KANYANGEYA WARD, KAMUL","KAMWENGE, KABALORE, BUNDIBUGYO, NTOROKO, BWEERA, BUNYANGABU, KYENJOJO AND KAMWEN",TO SUPPORT THE GIRL CHILD,INDR150053639NB,INDP0003639NB
1517,GIRL INITIATIVE FOR BETTER EDUCATION AND HEALTH,"KAMPALA DISTRICT,SOCIAL SECURITY HSE,ESO CORNER LEVEL 1",KAMPALA,TO ENSURE EDUCATION FOR THE GIRL CHILD TO EFFECTIVELY COMPETE IN THE LABOUR MAR,INDR149133476NB,INDP0003476NB
1518,GIRL RESCUE FOUNDATION UGANDA,KAMPALA; KITORO ZONE MACKAY RD NATETE RUBAGA DIV.; P.O. BOX 28709 KAMPALA,KAMPALA,PROMOTE EDUCATION FOR GIRL CHILD; PSYCHOSOICAL SUPPORT AND TRAINING IN LIFE SKIL,INDR151053946NB,INDP0003946NB
1519,GIRL UP INITIATIVE UGANDA,"MWALIMU ROAD;KIKOMBE B,P.O BOX 11227,KAMPALA",KAMPALA,"REPRODUCTIVE HEALTH TRAINING, PROMOTING RIGHTS OF YOUNG GIRLS; COMMUNITY DIALOGU",INDR13533415NB,INDP13533415NB
1520,GIRLS CONNECT UGANDA,"KAMPALA; KISAKYE SHOPPING MALL NTINDA, 2ND FLOOR RM 16; P.O. BOX 642 NTINDA",KAMPALA,SUPPORTING ADOLESCENT GIRLS AND YOUNG WOMEN INTO VOCATIONAL SKILLING,INDR154934543NB,INDP0004543NB
1521,GIRL'S MENARCHE INITIATIVE,IGANGA; KIDAAGO VILL. NABITENDE KIDAGO S/CTY; BOX 2047 IGANGA,IGANGA,TO REACH OUT TO VULNERABLE AND OPPRESSED GIRLS,INDR159025206NB,INDP0005206NB
1522,GIRLS TOMORROW INITIATIVE,"BUSIA; OKUKU ESTATES SIBARARA ROAD, BUGUNDUHIRA A; P.O. BOX 34724 BUSIA",COUNTRYWIDE,PROVIDE EDUCATION AND TRAINING IN SEXUAL HEALTH AND RIGHTS; MENSTRUAL HYGIENE MA,INDR142561731NB,INDP0001731NB
1523,GITHUT FOUNDATION,PADER; OYUTU VILL. LUGWAI ZONE A PADER TOWN COUNCIL,PADER,"TECHNOLOGICAL SKILLS, ADVOCATING FOR EQUAL OPPORTUNITIES, RESEARCH",FORR160695239NB,FORP0005239NB
1524,GIVE A PAD TEAM -UGANDA,,,"TO GIVE OUT FREE PADS, EDUCATE GIRLS, MOBILIZE PADS FOR GIRLS AND INCOME GENERAT",INDR13574494NB,INDP000494NB
1525,GIVE DIRECTLY,MBALE; PLOT 8 MALUKU ROAD MBALE; P.O. BOX 1128 MBALE,COUNTRYWIDE,CREATING ALTERNATIVE TO TRADITIONAL PHILANTHROPY MODELS,INTR105261426NB,INTP100801426NB
1526,GIVE ME HOPE-AFRICA,MBALE; PLOT 7B MASABA ROAD; P.O. BOX 1378 MBALE,COUNTRYWIDE,EVANGELISM AND PRIMARY HEALTH CARE; EDUCATION FOR OVCS AND SUPPORT TO ELDERLY; W,INDR111841670NB,INDP106361670NB
1527,GIVERITE INTERNATIONAL,WAKISO; KYALIWAJALA MUTAKA PLAZA; P.O BOX 5454 KAMPALA,WAKISO,"HUMANITARIAN AID, EUDCATION SUPPORT TO OVCS, VOCATIONAL SKILLS TRAINING AND INCO",INDR153294283NB,INDP0004283NB
1528,GIVING CHILDREN HOPE INITIATIVE (NGO),"MITYANA, P.O BOX 35900 KAMPALA",COUNTRYWIDE,SUPPORT ORPHANS AND VULNERABLE CHILDREN,INDR9335353NB,INDP8837353NB
1529,GIVING HEART FOUNDATION,"KAMPALA, NAKAWA DIVISION, ST MBAGA TUZINDE KIWATULE",KAMPALA,"TO BUILD A YOUTH FREE RACIAL SEGREGATION AMONG THE YOUTH,ENCOURAGE ORPHANS TO KI",INDR163245734NB,INDP0005734NB
1530,GLIMMER FOUNDATION UGANDA,"KAMPALA DISTRICT, KYIRIGWAJJO STAGE LUKULI NANGANDA ROAD, MAKINDYE, KAMPALA",COUNTRYWIDE,TO PROMOTE LIFE LEARNING SKILLS DEVELOPMENT,,
1531,GLOBAL ADVOCACY FOR PHYSICAL FITNESSS EXERCISE,"IBANDA; BUFUNDA STREET,BUFUNDA WARD,BUFUNDA DIVISION,IBANDA MUNICIPALITY",IBANDA,PROVIDE RELEVANT AND UP-TO DATE INFORMATION THAT WILL EMPOWER THE COMMUNITY TO M,INDR156584758NB,INDP0004758NB
1532,GLOBAL AGRICULTURE INNOVATION AND SOLUTIONS,KAMPALA; SUIT C.5 3RD FLOOR; PLOT 5 KATAZA ROAD BUGOLOBI; P.O. BOX 75454 KAMPALA,YUMBE,"PROVIDING CERTIFIED SEEDS AND ACCESSIBILITY TO THE SAME TO FARMERS, PROMOTING IM",REGR13519291NB,REGP000291NB
1533,GLOBAL AIM UGANDA PROGRAME,P.O.BOX 244 MOYO,ADJUMANI & MOYO,"TO PROMOTE A HARMONIOUS , HEALTHY COMMUNITY WITH SUSTAINABLE LIVEHOOD",INDR6864207NB,INDP6864207NB
1534,GLOBAL ALLIANCE FOR THE ADVANCEMENT OF REFUGEES AN,"JINJA, PLOT 3, MOUMUDDE KAMULI ROAD, JINJA. P. O BOX 101128, KAMPALA","JINJA, IGANGA, MAYUGE","TO ENSURE THE POLITICAL , EDUCATIONAL, SOCIAL AND ECONOMIC EQUALITY OF RIGHTS OF",INDR163285642NB,INDP0005642NB
1535,GLOBAL ALTERNATIVES,,,,INDR13503369NB,INDP000369NB
1536,GLOBAL APOSTOLIC CHURCH OF JESUS CHRIST,"KYEGEGWA; TOP HILL KASESKERE-RWAMIJO, NKAHA WARD; P.O. BOX 21 KYEGEGWA",COUNTRYWIDE,EVANGELISM AND PROVIDING SOVCIAL SERVICES; NETWORKING AND PARTNERSHIP,INDR112561404NB,INDP107191404NB
1537,GLOBAL BOLD VENTURE MINISTRIES,"WAKISO DISTRICT, NAKIWOGO ENTEBBE",WAKISO,TO TRAIN AND EMPOWER CHRISTIANS,FORR128423496NB,FORP126763496NB
1538,GLOBAL CARE UGANDA,"P.O. BOX 2421, KAMPALA",KAMPALA,TO ASSIST THE NEEDY,FORR26292968NB,INDP24542968NB
1539,GLOBAL CHALLENGE,,SOROTI,,INTR13658557NB,INTP000557NB
1540,GLOBAL CHRISTIAN OUTREACH MINISTRY,"MAYUGE; MAKONKO ZONE, MAKONKO WARD BWONDHA TOWN COUNCIL; P.O. BOX 679 IGANGA",MAYUGE,"EVANGELISM, EDUCATIONAL INSTITUTIONS AND TRAINING",INDR153664341NB,INDP0004341NB
1541,GLOBAL CHRIST'S MISSION CHURCH,KABAROLE; BUKWALI KISUMBI C; P.O. BOX 115 FORT PORTAL,KABAROLE,"ESTABLISHING DISCIPLESHIP TRAINING SEMINARS, OPENING UP LIBRARIES FOR HOLY BOOKS",INDR119484655NB,INDP115914655NB
1542,GLOBAL EMERGENCY CARE COLLABORATIVE,"P.O. BOX 4404, SHREWSBURY, MA 01545",RUKUNGIRI,TO ESTABLISH EFFECTIVE EMERGENCY CARE SYSTEM,FORR101992826NB,FORP97622826NB
1543,GLOBAL FORUM FOR DEVELOPMENT UGANDA,LIRA; PLOT 106 POLICE JUNIOR QUARTERS B ADYEL DIV; P.O BOX 741 LIRA,LIRA,"RAISE ,MENTOR AND BUILD YOUTHS INTO LEADERS WITH GLOBAL PERSPECTIVE",INDR109395079NB,INDP111745079NB
1544,GLOBAL GIVING CORPS FOUNDATION,"KAMPALA; NAKASERO IV,LIOYDS MALL,2 FLOOR S2",KAMPALA,GIVING HELP TO ALL KIND OF PEOPLE THAT ARE NEEDY.,FORR155904726NB,FORP0004726NB
1545,GLOBAL GOAL SCHOOLS,"WAKISO; PLOT 25 CHURCH ROAD, ENTEBBE",COUNTRYWIDE,TO GIVE BETTER OPPORTUNITIES TO THE GIRL CHILD IN SCHOOLS; ALTERNATIVE TEACHING,FORR138191195NB,FORP0001195NB
1546,GLOBAL HANDS OF HOPE,"KAYUNGA; BUKEKA-MIREMBE,KAWOOMYA,KANGULUMIRA P.O.BOX 40361",KAYUNGA,TO PROVIDE HOLISTIC CARE AND SUPPORT TO ORPHANS AND VULNERABLE CHILDREN,INDR130025362NB,INDP127265362NB
1547,"GLOBAL HEALTH CORPS, INC","MARIBA BUILDING, PLOT 17 GOLF COURSE ROAD, KAMPALA. P.O BOX 21473, KAMPALA-UGAND",COUNTRYWIDE,PROVIDING OPPORTUNITIES FOR YOUNG PROFESSIONALS AND HEALTH SERVICES,FORR94085671NB,FORP39315671NB
1548,GLOBAL HEALTH NETWORK,,,"PROVIDING EDUCATION,",INDR854149NB,INDP806249NB
1549,GLOBAL HEALTH RESEARCH INNOVATION AND DEVELOPMENT,GOMBE; KYABADAAZA HEALTH CENTER III BUDDE S/C GOMBE GENERAL HOSPITAL,GOMBE,TO PROMOTE HEALTH DEVELOPMENT,INDR159925203NB,INDP0005203NB
1550,GLOBAL INITIATIVE FOR RIGHTS AND DEVELOPMENT,,,,,
1551,GLOBAL LEARNING SUTAINABILITY,KAMPALA; BALINTUMA ROAD OFF NAKULABYE ROUND ABOUT; P.O. BOX 9366 KAMPALA,KAMPALA,LIFE SKILLS FOR POSITIVE BEHAVIUROAL CAHNGE; CAPCITY BUILDING; EDUCATIONAL SUPP,INDR140371562NB,INDP0001562NB
1552,GLOBAL LIFE MINISTRIES,"KAMULI DISTRICT, KISOZI TOWN COUNCIL P.O. BOX 18, KAMULI","KAMULI,BUYENDE&JINJA","TO EMPOWER AND SENSITIZE WOMEN , CHILDREN AND YOUTHS WITH INFORMATION MANAGEMEN",INDR105132311NB,INDP100712311NB
1553,GLOBAL LIVINGSTON INSTITUTE,,,,FORR148323926NB,FORP0003926NB
1554,GLOBAL MISSION IN UGANDA,,,,INDR46113801NB,INDR42693801NB
1555,GLOBAL NETWORK FOR UGANDA VOLUNTEERS FOUNDATION,"WAKISO; NAMUZI ZONE, SSISA VILLAGE KAJJANSI TOWN COUNCIL; P.O. BOX 955 KAMPALA",COUNTRYWIDE,INCLUSIVE AND EQUITABLE EDUCATION; GENDER EQUALITY AND WOMEN EMPOWERMENT; LIVELI,INDR143381819NB,INDP0001819NB
1556,GLOBAL OPERATION PHILLIP INITIATIVE,,ARUA,PROMOTING EDUCATION AND EVANGELISM,FORR11931412NB,FORP11479412NB
1557,GLOBAL OUTREACH DEVELOPMENT EAST AFRICA,,WAKISO,,INDR146352763NB,INDP0002763NB
1558,"GLOBAL OUTREACH MISSION, INC.",JINJA; PLOT 18 KIRA ROAD; P.O. BOX 723 JINJA,COUNTRYWIDE,BIBLE TEACHING AND TRAINING; DISCIPLESHIP AND MENTORING YOUNG TEEN BOYS AND GRIL,INTR140021279NB,INTP0001279NB
1559,GLOBAL OUTREACH UGANDA,JINJA; PLOT 2 ARATOON PLACE; P.O. BOX 1764 JINJA,COUNTRYWIDE,"MEDICAL HEALTH CARE AND CONSTRUCTION OF HEALTH FACILITIES, CHILD CARE AND EVANGE",INTR2612476NB,INTP712476NB
1560,GLOBAL PATHWAYS TO SUCCESS UGANDA,WAKISO; NAJJERA BULABIRA ZONE KIRA MUNICIPALITY; P.O. BOX 11938 KAMPALA,COUNTRYWIDE,PROMOTE EDUCATION AND PSYCHOSOCIAL SUPPORT TO WOMEN AND GIRLS AND WELFARE TO VUL,INDR145602443NB,INDP0002443NB
1561,GLOBAL PHILADELPHIA CHURCH MINISTRIES,MBARARA; KAKOBA KISENYI LC I KAKOBA DIV; P.O. BOX 1237 MBARARA,MBARARA,TO PREACH THE GOSPEL,REGR143772302NB,REGP0002302NB
1562,GLOBAL PHILADEPHIA CHURCH MINISTRIES LIMITED,"100010, KAMPALA",MBARARA,EVANGELISM,REGP0002302NB,REGR143772302NB
1563,GLOBAL POSTERITY INITIATIVE,"KAMPALA; NTINDA ROAD, NSIMBIZIWOME-BUKOTO; P.O. BOX",COUNTRYWIDE,ADVOCATING FOR CHILDREN'S RIGHTS AND SUPPORT TO THE GIRL CHILD; BASIC NEEDS TO T,INDR142581710NB,INDP0001710NB
1564,GLOBAL PROGRAMS FOR RESEARCH &TRAINING,KAMPALA; MULAGO COMPLEX UPPER MULAGO HILL ROAD MU-JHU RESEARCH COLLABORATION BUI,COUNTRYWIDE,PROJECTS ON HEALTHCARE AND PUBLIC HEALTH; SERVING AS A WORKING REPOSITORY OF ORG,FORR141111618NB,FORP0001618NB
1565,GLOBAL PROPHETIC MINISTRY,"KUMI; PLOT 27OFF MATENGA ROAD, KUMI MUNICIPAL COUNCIL; P.O. BOX 298 KUMI",COUNTRYWIDE,EVANGELISM AND TRAINING GOSEPL MINISTERS FOR EFFECTIVE MISSIONS; PROMOTE SUSTAIN,INDR140311334NB,INDP0001334NB
1566,GLOBAL RECONCILIATION TEAM MINISTRIES,,,,INDR12324542NB,INDP12019542NB
1567,GLOBAL REFUGEE INITIATIVES,KAMPALA; BOMBO ROAD SUITE 6 SHOEL HOUSE PLOT 76A; P.O. BOX 37262 KAMPALA,KAMPALA AND KIRYANDONGO,DEVELOPING AND IMPLEMENTING SUSTAINABLE PROGRAMMES TOGETHER WITH REFUGEES; IDPS,FORR141731750NB,FORP0001750NB
1568,GLOBAL REHABILITATION & TRANSFORMATION RESPONSE -U,"TEREGO; OFUA II RHINO CAMP SETTLEMENT, URIMA SC; P.O BOX 1020 ARUA","TEREGO, ARUA, YUMBE, KOBOKO","EDUCATION, QUALITY OF LIFE, HOLISTIC REHABILITATION, CAPACITY BUILDING AND GENDE",INDR153354298NB,INDP0004298NB
1569,GLOBAL RIGHTS ALERT INITIATIVE,PLOT 24 MARTYRS WAY MINISTERS VILL. NTINDA; P.O. BOX 27977 KAMPALA,COUNTRYWIDE,PROMOTING RESPECT OF HUMAN RIGHTS AND RESOURCES,INDR7971439NB,INDP7432439NB
1570,GLOBAL SELFCARE FOUNDATION,KAMPALA; PLOT 4529 BLOCK 206 MPERERWE-KAWEMPE RD; BOX 100010 KAMPALA,KAMPALA,TO PROMOTE SELF-CARE IN PROMOTING AND PROTECTING HOLISTIC HEALTH,INDR161225452NB,INDP0005452NB
1571,"GLOBAL SURGICAL INITIATIVE, INC",JINJA; KYABIRWA VILLAGE KAGOMA COUNTY; BOX 540 JINJA,JINJA,DEVELOP SUSTAINABLE SURGICAL PROGRAMS; BUILDING QUALITY AMBULATORY SURGICAL FACI,INTR139391236NB,INTP0001236NB
1572,GLOBAL YOUTH CONFERENCE ACADEMY,"KAMPALA DISTRICT,PLOT NO.19 NTINDA ROAD ,NAKAWA DIVISION",KAMPALA,"TO EMPOWERMENT YOUTH IN POSE CONFLICT SOCIETY THROUGH LEADERSHIP TRAINING,AWAREN",REGR145082186NB,REGP0002186NB
1573,GLOBAL YOUTH CONFRERENCE ACADEMY,"KAMPALA DISTRICT,PLOT 19,NTINDA ROAD P.O.BOX 10715 KAMPALA",KAMPALA,"TO SET UP AN ART AND EDUCATION ACADEMY,LEADERSHIP TRAINING AND ADVOCACY,SET UP P",REGR145082205NB,INDP0002205NB
1574,GLORIOUS GOSPEL OUTREACH MINISTRIES FORMERLY YOUTH,,,,INDR2058391NB,INDP1900391NB
1575,GLORIOUS WORSHIP CHURCH,"KAMPALA; MUTUNGO ZONE III KASOKOSO ROAD BEHIND CANOPY COUNTRY CLUB, NAKAWA DIVIS",KAMPALA,EVANGELISM AND CHURCH PLANTING; PUBLICATION OF RELIGIOUS LITERATURE; HEALTH CARE,REGR137851229NB,REGP0001229NB
1576,GLORY & GRACE CHURCH INTERNATIONAL (GGCI),,COUNTRYWIDE,,INDR101952700NB,INDP103942700NB
1577,GLORY AGRICULTURAL DEVELOPMENT GROUP,"KAMPALA, 7TH STREET INDUSTRIAL AREA",COUNTRYWIDE,"PROMOTE AND FACILITATE THE DEVELOPMENT OF AGRICULTURAL FARMIMG, VOLUNTEER IN MAR",INDR164335704NB,INDP0005704NB
1578,GLORY DAYS GLOBAL MINISTRIES,"KITAMBUZA ZONE,KANYANYA PARISH, KAWEMPE DIVISION",KAMPALA,TO PREACH THE GOSPEL,INDR128643202NB,INDP125973202NB
1579,GLORY HOUSE RESTORATION MINISTRIES,MBALE,BUDUDA AND MBALE,PREACH THE GOSPEL,INDR7227329NB,INDP7084329NB
1580,GLORY OF GOD HEALING CHURCH,,MASAKA,"PROCLAIMING THE GOSPEL , EDUCATION, PROMOTING LOVE AND PEACE AMONG THE CITIZENS",INDR13602338NB,INDP000338NB
1581,GLORY OF LATER HOUSE FOUNDATION,KAMPALA; MASANAFU RUBAGA DIVISION BUKULUUGI ZONE; BOX 36597 KAMPALA,KAMPALA,TO ADVOCATE FOR THE EARLY CHILDHOOD EDUCATION TO THE NEEDY,INDR159875211NB,INDP0005211NB
1582,GLORY OF LATER HOUSE FOUNDATION,P.O.BOX 36597 KAMPALA,BUKULUUGI,TO ADVOCATE FOR EARLY CHILDHOOD EDUCATION TO THE NEEDY CHILDERN,INDR159875211NB,INDP0005211NB
1583,GLORY OUTREACH MINISTRIES INTERNATIONAL FORMERLY G,,,,INDR9578558NB,INDP9126558NB
1584,GLORYLAND CHILDREN'S HOME,MUBENDE; P.O. BOX 37 MUBENDE,COUNTRYWIDE,EDUCATION; SUPPORT AND CARE FOR CHILDREN AFFETCED AND INFETCED WITH HIV/AIDS; OP,INDR12449959NB,INDP12134959NB
1585,GO 2 SCHOOL INITIATIVE UGANDA,"KAMPALA DISTRICT, RUBAGA DIVISION, BUSEGA PARISH, KIBUMBIRO ZONE B",KAMPALA,TO ESTABLISH INSTITUTIONS OF LEARNING,INDR149153506NB,INDP0003506NB
1586,GO ONE BUGWERE,KIBUKU; NAKOOMA VILLAGE KAGUMU SUB COUNTY; P.O. BOX 555 MBALE,PALISA AND KIBUKU,"MENTORSHIP, HEALTH SERVICES; SKILLS DEVELOPMENT; HUMAN RIGHTS ADVOCACY AND FOOD",INDR146442624NB,INDP0002624NB
1587,GO PAMOJA UGANDA,MUKONO; SEETA-GOMA P.O. BOX 1 SEETA,MUKONO,FORMAL EDUCATION AND VOCATIONAL TRAINING FOR OVCS; SKILLS TRAINING AND EMPOWERME,FORR139521169NB,FORP0001169NB
1588,GO UGANDA TRANSFORM AFRICA MINISTRIES,"BUGUJJU, MUKONO",MUKONO,TO PROMOTE EVANGELISM,INDR144712997NB,INDP0002997NB
1589,GOAL RELIEF AND DEVELOPMENT ORGANISATION,,COUNTRYWIDE,TO PROVIDE RELIEF ASSISTANCE AND ADVANCEMENT OF PEOPLE IN NEED IN LESS DEVELOPED,INTR14002225NB,
1590,GOBERERA INITIATIVE (U),"SEMBABULE; DISPENSARY ZONE, SEMBABULE TOWN; P.O. BOX 10109 KAMPALA",SEMBABULE,"NURTURE INCLUSIVE AND EQUITABLE QUALITY EDUCATION, POLICY ADVOCACY AND RESEARCH",INDR158194979NB,INDP0004979NB
1591,GOBERO HEALTH FOUNDATION,"KAMPALA; LUNGUJJA PARISH, RUBAGA DIVISION",KAMPALA,"ESTABLISH, FUND, SUPPORT HOPSITALS, CLINICS, PHARMACIES, DRUG SHOPS AND HEALTH C",INDR13712793NB,INDP000793NB
1592,GOD CARES NEW CALLING MINISTRIES,"MBALE; BUGWERE CELL, MALUKU WARD; INDUSTRIAL DIVISION. P.O. BOX 1499 MBALE",MBALE,"EVANGELISM, QUALITY EDUCATION AND SKILLS DEVELOPMENT; OVCS CARE AND SUPPORT; AGR",INDR13749845NB,INDP000845NB
1593,GOD HELPS UGANDA,NAMALWA 1 BUKESA PARISH KAMPALA CENTRAL DIVISION,COUNTRYWIDE,TO SHELTER ORPHANS AND DESTITUTE CHILDREN,INDR31451930NB,INDP29211930NB
1594,GOD IS ALIVE CHURCHES,MBALE; BUBIRABI CELL NAMATALA WARD INDUSTRIAL DIV; P.O. BOX 2246 MBALE,MBALE,TO PROMOTE EVANGELISM,INDR147433617NB,INDP0003617NB
1595,GOD IS GOOD MISSION,,,,INDR5018619NB,INDP4699619NB
1596,GOD IS GOOD POTENTIAL FOUNDATION,"WAKISO DISTRICT,KASANGATI NABUTITIT SEBAGALA ZONE.PLOT 1141",WAKISO,TO PREACH THE GOSPEL AND CHARITABLE WORKS TO ESTABLISH EDUCATIONALAND TRAINING,INDR149993629NB,INDP0003629NB
1597,GOD REMEMBERS MINISTRIES INTERNATIONAL,34154 KAMPALA,NTUNGAMO,PREACHING GOSPEL OF OUR LORD JESUS CHRIST,FORP0005115NB,FORR159255115NB
1598,GOD REMEMBERS MINISTRIES INTERNATIONAL,"KALUNGU; JUMA CELL, CENTRAL WARD LUKAYA TOWN COUNCIL; BOX 1106 MASAKA",KALUNGU,TO PREACH AND PROPAGATE THE FULL GOSPEL OF JUSUS CHRIST,FORR159255115NB,FORP0005115NB
1599,GOD WITH US CHRISTIAN CENTRE,KAMPALA; NAKULABYE PARISH TERRACE ZONE 2 RUBAGA DIVISION; P.O. BOX,,ADVOCATE FOR GIRL EDUCATION AND ESTABLISHING VOCATIONAL CENTRES; EVANGELISM; FAL,INDR142951761NB,INDP0001761NB
1600,GODLY CARE CHILD INTERNATIONAL,"NAKASEKE; KIGEGGE VILLAGE,NAKASEKE SUBCOUNTY",NAKASEKE,"TO DEVELOP PEOPLES SKILLS AND TALENTS,PROMOTE QUALITY EDUCATION",INDR132945094NB,INDP130305094NB
1601,GODLY SEED MINISTRIES UGANDA,LUWERO; P.O. BOX 74 BOMBO,LUWERO,COMMUNITY TRANSFORMATION THROUGH EVANGELISM,INDR161035411NB,INDP0005411NB
1602,GOD'S CARE MINSTRIES,,KYEJONJO,TO PREACH THE GOSPEL OF JESUS CHRIST,INDR84102317NB,INDP79082317NB
1603,GOD'S CARING PENTECOSTAL MINISTRIES,"IBANDA DISTRICT, ISHONGORO /TOWN COUNCIL P.O.BOX 387 IBANDA",COUNTRYWIDE,"TO PROMOTE EVANGELISM,WELFARE FOR THE NEEDY, ORPHANED AND COMMUNITY DEVELOPMENT",INDR81202213NB,INDP75852213NB
1604,GOD'S CENTRE OF BLESSING MINISTRIES,WAKISO DISTRICT BWEYOGERERE KIRA MUNICIPALITY,MUKONO.MPIGI &WAKISO,TO PROMOTE EVANGELISM AND SETTING UP TRAINING,INDR29112641NB,INDP27362641NB
1605,GOD'S CHILDREN MINISTRY INTERNATIONAL,SOROTI; PLOT 15 ENGWAU ROAD NORTHERN DIVISION; P.O. BOX342 SOROTI,COUNTRYWIDE,PROMOTE FORMAL EDUCATION; HEALTH EDUCATION AND AGRICULTURAL SKILLS; HUMAN RIGHTS,INDR145302403NB,INDP0002403NB
1606,GOD'S CHILDREN MINISTRY INTERNATIONAL,"SOROTI DISTRICT, P.O. BOX 342, SOROTI",COUNTRYWIDE,TO EVANGELISE,,
1607,GOD'S DELIVERANCE WORSHIP CENTER MINISTRIES,"KAMPALA; BANDA I, BANDA PARISH NAKAWA; P.O. BOX 193 ENTEBBE",KAMPALA,"COMMUNITY EMPOWERMENT, EDUCATION SUPPORT AND EDUCATION",INDR153934391NB,INDP0004391NB
1608,GOD'S DESIRE MINISTRIES UGANDA,"KASUSU SOUTH DIVISION FORT PORTAL MUNICIPALITY, KABALORE DISTRICT",KABALORE,TO PROVIDE TREATMENT AND CARE SERVICES OF HIV/AIDS CHILDREN,INDR148583377NB,INDP0003377NB
1609,GOD'S EMBASSY MINISTRIES,"RUKUNGIRI; KATOBO KITIMBO WARD, WESTERN DIVISION; P.O. BOX 395 RUKUNGIRI",COUNTRYWIDE,EDUCATION SUPPORT AND HEALTH CARE BASED ON CHRISTIAN PRINIPLES; EVANGELISM AND L,INDR142121492NB,INDP0001492NB
1610,GOD'S EMPOWERMENT MINISTRIES INTERNATIONAL,,,,INDR9874643NB,INDP9402643NB
1611,GOD'S FOOTPRINT MINISTRIES,"BUIKWE; BULYATEETE VILLAGE, LUGAZI MUNICIPALITY; P.O. BOX 1545 JINJA",BUIKWE,TO SETUP BIBLE BASED CHURCHES,FORR160435222NB,FORP0005222NB
1612,GOD'S FORTRESS MINISTRIES,"KAMPALA; PLOTS 459, 1247, 1249 KOMAMBOGA KATWA ZONE KAWEMPE DIV; BOX 107 KAMPALA",KAMPALA,FAMILY EMPOWERMENT AND PREACHING THE GOSPEL,INDR124105020NB,INDP121105020NB
1613,GOD'S FREEDOM DISCIPLESHIP INTERNATIONAL MINISTRIE,MUKONO; PLOT 1582 NAMUMIRA WARD-KATOSI RD; BOX 16321 MUKONO,MUKONO,"SPREADING THE GOSPEL, HOLISTIC DEVELOPMENT, ADVOCACY, FAL",INDR161645422NB,INDP0005422NB
1614,GOD'S GLORY WORLDWIDE,"BUWENDA VILLAGE, BUWENDA PARISH, MAFUBIRA SUB COUNTY, JINJA DISTRICT",JINJA,TO CREATE AND FOSTER DYNAMIC STRATEGIC PARTNERSHIP,FORR148923400NB,FORP0003400NB
1615,GOD'S HOUSE OF MIRACLES MINISTRIES,KIKAWULA WARD LUGAZI MUNCIPALITY P. BOX 44 LUGAZI,COUNTRYWIDE,"TO PROMOTE CHRISTIAN FAITH, AND COMMUNITY BASED HEALTH CARE",1NDR143842061NB,INDP0002061NB
1616,GOD'S LIGHT IN AFRICA INTERNATIONAL,NAMAYINGO; BULAKO/BANDA; P.O BOX 301 BUGIRI,BUGIRI,"EDUCATION SUPPORT, COMMUNITY EMPOWERMENT AND EVANGELISM",FORR13500504NB,FORP000504NB
1617,GOD'S MIGHTY REACH FOUNDATION,KAMPALA; CHRUCH ROAD NAJJANANKUMBI; P.O BOX 14036 KAMPALA,KAMPALA/WAKISO,"SKILLS TRAINING, INCOME GENERATING PROJECTS, CHARITABLE WORK AND LIVELIHOODS",INDR152794219NB,INDP0004219NB
1618,GOD'S OWN PEOPLE MINISTRIES,"KAMPALA; KATEGULA ZONE LC I, KIBUYE II MAKINDYE DIVISION; P.O. BOX 22978 KAMPALA",KAMPALA,SUPPORTING EDUCATION AND PREACHING THE GOSPEL OF JESUS CHRIST; EMPOWERING THE YO,FORR109021487NB,FORP108031487NB
1619,GOD'S REMNANT ASSEMBLY,,,,FORR120662675NB,INDP119422675NB
1620,GOD'S VOICE REVIVAL CENTRE,"KAMPALA; KITINTALE ZONE 12, MUTUNGO PARISH, NAKAWA DIVISION; P.O. BOX 244 KAMPAL",COUNTRYWIDE,EVANGELISM AND HELPING THE NEEDY PERSONS IN THE COMMUNITY,INDR96201260NB,INDP91481260NB
